feed_id,uid,ptid,likes,comments,post_age,textlength,hashtags,latitude,longitude,urls,RankScore
403037,1e32f476-d76c-4254-97ee-8cd3ce831b69,d7b65e194e6b4017bd22513b01bdd675,10,4,177985,12.0,0.0,42.458202,21.468954999999998,2,1.450914926175369e-35
402839,f45eee1b-08f3-4250-8fb0-ad3dfb96bfc5,94182f816b28440fa03cd94a63c5ce32,7,0,178701,60.0,6.0,3.4245360000000002,101.79595400000001,1,1.4485434495891013e-35
402371,b96bbd7e-0650-4889-af47-6316a9e1cd56,02bedb0638444547bd6cbeabebdede3b,24,4,180097,115.0,7.0,6.845273,79.873005,1,1.4482276437237132e-35
402202,ee837348-6381-409e-aae6-db786671bef7,b955f2e9643e4b10946ed95341c0fc80,232,0,180482,101.0,7.0,60.238498,24.888337,1,1.4479610281725124e-35
403694,691e4828-6954-488f-a903-bc8840c67819,9aacce4ddc1c4171a05407001a8fbffb,4,2,176152,1.0,0.0,22.914026999999997,96.494901,1,1.4411550182872672e-35
403112,06b68bd8-5013-44ee-a9db-65cd46ec7c29,575771059fea4cf49ad8197bab7761d2,2,0,177821,27.0,0.0,22.490949,88.347523,2,1.4366782921568476e-35
403585,286db8c5-0304-48a9-95be-c893d01efd6a,9592e77e2bfe436bb000f81c20e965f8,7,0,176417,1.0,0.0,28.205592,76.595958,1,1.4361030654078642e-35
401928,30ebd843-d867-4dfd-94b9-175107a80c40,b0e1dad0020d4972b51cb9afde3d0da6,38,3,181107,165.0,9.0,37.562702,126.964436,2,1.43449828172178e-35
403125,554fdcda-e619-4dd6-af6e-9944a6616c9c,10c403c24cd34d6ea8b9b11077a63fe7,5,0,177792,36.0,0.0,10.240849,123.817227,5,1.4322026437140012e-35
401648,2f4acb13-0295-4248-ab35-acb0c20d628f,87dca58326794dc98bab4459d5083608,22,17,181937,269.0,7.0,14.590622,120.97997,4,1.4292299636662944e-35
402960,3d6f95cf-4757-44eb-9f59-1d0aaccdf867,63f1e227a9be4c9d8c42d480ed878866,18,3,178221,19.0,0.0,40.7056,-73.97800000000001,1,1.42895572019052e-35
402388,57c87274-46e4-42ac-8b66-b10f845ac022,2eddf9713dc64e10993e531bde233634,142,5,180061,81.0,0.0,51.479766999999995,-0.112889,1,1.4283413801825727e-35
402012,57c87274-46e4-42ac-8b66-b10f845ac022,bb0db1ae67634956b82a80ef9a21ab09,146,5,180930,142.0,0.0,51.479766999999995,-0.112889,5,1.4182246557472156e-35
403504,8ac67e6a-39b6-4e49-9145-9a643ffa2c04,6946d6d973f84826a5437191ee2a8cdf,12,0,176654,18.0,0.0,9.772516,76.473752,1,1.4159696615705893e-35
401920,06e9228f-8ab0-437f-9c4c-fcd9df8a33b8,9ebae24c4a3947128e5742ec82ce463f,32,7,181132,155.0,5.0,50.084717,14.431605,1,1.4151037658551568e-35
403165,c24dcb64-f436-4d19-a9da-435bf3cc088c,23c1c3bd7b544f1bb294a18959e585fa,1,0,177718,22.0,0.0,25.251144,55.33384100000001,4,1.41261971313573e-35
402726,78cdb8bb-8e16-4909-8cbf-c2d2255e7f58,46ffbb148f4d4de98cc0b3ab12cb9742,0,0,179089,72.0,2.0,6.949069000000001,122.131055,1,1.4111731989207364e-35
402262,804edd4c-b497-429e-aea4-dee2cd09e00a,9d42a306d56c403abfbccca4d2f560fb,15,1,180323,93.0,5.0,52.366696999999995,4.89454,1,1.405472745015106e-35
402801,b75daac4-8e89-4436-9092-70a6b25e2a80,cbc7a2caedc243cdb6c9a63b0b93f30d,10,3,178819,65.0,2.0,0.477167,73.546868,3,1.401782102148002e-35
402699,b398c1c6-3cdc-4fb8-b689-5e7f51a3923f,eb61bf566b1444f9ad07b82067b403a7,31,5,179142,44.0,0.0,41.005594,28.980128999999998,5,1.3985976286195646e-35
402911,0858c999-cf11-4d16-8b66-b7ce7b92ce4f,b711bb7ae6544b61b44898e2395a2570,3,0,178413,42.0,0.0,19.377619,-99.068301,1,1.3971408761310708e-35
403396,a6f4da38-638f-4c2b-adfb-44ed63bbcfea,248e74297df3426da9fb1677bb494a21,14,8,176963,1.0,0.0,27.690677,85.307252,1,1.3958666176566184e-35
403040,e7f218f9-c56e-47c9-b6c1-589d6239e78c,f92b87fb118b49499c21e4c82c1241f4,10,2,177980,41.0,1.0,4.262618,72.991148,1,1.393221683517141e-35
402758,db03eb3b-f57a-4dd5-a4b3-12d38f388fb4,2b16b85c924141ce9b1a6b0b44fe5605,29,3,178992,33.0,0.0,49.452,11.0767,5,1.3900503506180476e-35
403265,e72b1ca2-6aba-4860-9df7-0c8aaf2264d1,2d21f7374fd0411691ba8aa7fd20c3b1,9,3,177447,11.0,0.0,29.072534,77.126764,1,1.38825742889606e-35
402816,cb89c42f-5866-4b80-a11e-9ba5862931ed,87df039eb56746fa9ad7145d10add18d,2,0,178794,20.0,0.0,60.383297,5.230090000000001,1,1.3873180402888062e-35
402846,a8bad17a-1b97-4ab3-8a07-c5b0b488b64b,31cdc1bd68b94e58adc9b75ca3ee19d5,21,3,178689,20.0,0.0,53.286215000000006,-6.287786,5,1.3861963874247152e-35
402619,9f336efb-1b0b-4a92-8f92-287d1a0da4d2,0b459746e4f349ceb183f7d02e768acc,17,4,179299,58.0,3.0,27.689481,85.349997,1,1.3856391803775568e-35
402883,885746fd-63ab-493e-a6a7-9304da813d35,8e42b8a8f060417a8253d7f7404aec5c,26,7,178537,20.0,0.0,43.699126,7.282551,5,1.384524762962986e-35
402346,57c87274-46e4-42ac-8b66-b10f845ac022,c3b8d0901f5547c5a7c9fbb9e5524d45,163,8,180153,80.0,0.0,51.479766999999995,-0.112889,1,1.3835979419912373e-35
402194,99cc189a-cc2a-4bf7-9971-94d80cad4d31,45e8f1d881304b02b9c22800d5a00643,20,0,180490,149.0,0.0,-0.429903,130.81726799999998,2,1.3832502350246017e-35
403171,01d0f985-d84c-400e-9da0-1ee166289ea4,e0ae4860b2724de49b236434b4a8a224,9,3,177689,45.0,0.0,-8.6794,115.210922,1,1.3770640460256605e-35
402657,1906f93e-3e87-4483-b1de-21d7ec7f6505,8377e7396f274fc696da42256fe27134,49,11,179215,34.0,4.0,44.689324,10.63849,1,1.3718027477325161e-35
402042,518c5a33-946b-4582-ba57-087d13ba5c2e,4b8803cb83344e9f941d4b524aea5ceb,16,0,180845,140.0,9.0,32.163837,74.166016,1,1.3695977329499766e-35
402374,57c87274-46e4-42ac-8b66-b10f845ac022,a618569065584766a61512bfe0eb00f2,163,8,180089,75.0,0.0,51.479766999999995,-0.112889,1,1.3691914094496178e-35
402765,9d357320-20f3-45e0-9f58-3bb63446bb3b,f994772df08f4ad0979ab61648ccb2ca,9,0,178959,35.0,0.0,46.80209,-100.789167,1,1.364789113038538e-35
403164,c24dcb64-f436-4d19-a9da-435bf3cc088c,c8627ac4ad054bf0bb9688d9dec1ddbf,14,2,177719,19.0,0.0,25.251144,55.33384100000001,1,1.36413380531638e-35
402552,6a9665ed-ee44-4fbe-adba-a3df1a2efbaa,a66b821f627742d49bfbce57cca3b47b,13,5,179461,71.0,3.0,16.853788,96.138912,1,1.3630585441954064e-35
402784,dadd054a-71ad-48b3-ad42-7e1a08f474fa,6077d17c09864ee98997bfcdd8b5e2ff,17,2,178894,25.0,0.0,54.56951,-1.321207,2,1.3626204305699375e-35
401635,2f4acb13-0295-4248-ab35-acb0c20d628f,3fb0029732b1404683c3c9ae1be036fa,14,6,181965,269.0,5.0,14.560025,120.998434,5,1.3617215516616437e-35
401910,166361d9-5049-467f-bac9-ef402b33881a,ef8f5df3377e4f83bdc124cb6ed8517d,17,2,181172,164.0,10.0,32.726929,-97.114963,1,1.3597357339977565e-35
402767,1f911afd-14ae-44e3-be72-021f21e49dc3,f57330b383184b95b7cb04a98fd2bf18,10,2,178939,39.0,0.0,38.465333,27.111411999999998,1,1.3574280299958926e-35
403041,1a0610b6-a8b3-4002-989d-65f6ab076b5b,c828e3ff64ec416bb492ad8f417729a4,17,2,177976,33.0,0.0,13.755378,100.572379,1,1.3560211304547405e-35
403039,e849b286-c633-4db3-9c8e-a968ce025d2f,fbe9ffa592e144569000cd9739dcb102,12,1,177981,14.0,0.0,38.724037,-9.135169,1,1.3546021410564623e-35
403079,7e4d9064-b7c1-412d-a353-588840639590,057d2c32abd249f0a5409fc6e1b639fa,20,3,177902,30.0,0.0,14.551376000000001,121.01820900000001,1,1.354563657599958e-35
402890,01cfe6ea-7009-4366-b578-df759114fc12,99afa3d3b9854cfb8620662b8078344b,19,5,178491,12.0,0.0,52.392340000000004,4.850315,1,1.3517505274392737e-35
403080,b4403cec-9086-4754-9b05-046d8610326e,2ebd43a9211a41a3af74cf52c79d8aae,12,1,177897,16.0,0.0,33.874,35.5089,5,1.3509906632492313e-35
402508,001d3003-eb4a-48fd-842d-7052d92f9196,8e019856fcce4effaf586690553b101d,41,5,179603,66.0,7.0,25.209042999999998,55.273340000000005,1,1.3487356083123955e-35
402893,1a4cab0d-9f47-4716-a958-1b2767f899ba,ab0f683933f9418f92f4a0f58f77524a,16,2,178469,27.0,2.0,32.990406,-97.067212,1,1.3413259268277587e-35
401833,QPSNiJT6E2,862b4bfadad9429fac2fef45ea071497,24,4,181470,212.0,0.0,14.58816,121.137093,5,1.3403156143678003e-35
403684,bae420a1-7987-49a9-89ae-62556770a0fe,2eb72f6d197649cc95e3b349e7c2dfa1,10,1,176171,3.0,0.0,19.721387,96.164007,1,1.3374806663232763e-35
402385,57c87274-46e4-42ac-8b66-b10f845ac022,6ba13060c81f4d52a7391a0d000e5fc8,152,4,180069,74.0,0.0,51.479766999999995,-0.112889,1,1.335006355769211e-35
403186,5c85eee1-699e-441b-9c88-69d35f6148c5,bd81cf4c38414845a1c5f8248d6135f2,10,2,177666,17.0,0.0,25.406882999999997,55.438044999999995,1,1.333484721795502e-35
402186,ee837348-6381-409e-aae6-db786671bef7,0a558e7ef5874c139504c2cbb871ad3d,241,7,180498,86.0,5.0,60.238498,24.888337,1,1.3330003414588723e-35
402828,52881acf-2ebc-4509-888b-ffe5344a7283,5e93f5d75e374ecd9cb17aa639117dd4,14,0,178749,30.0,0.0,42.667857,23.319143,1,1.3315175014450096e-35
403693,691e4828-6954-488f-a903-bc8840c67819,c28504b0f79f4ce6b11823e408b4b0aa,0,0,176153,1.0,0.0,22.914026999999997,96.494901,1,1.3313553471365438e-35
401935,99cc189a-cc2a-4bf7-9971-94d80cad4d31,6fb6e2c660eb4942ab87b494ce27b789,20,1,181093,179.0,11.0,-0.429903,130.81726799999998,1,1.3311315187632983e-35
402562,f7975b29-95ad-4387-a844-7d395f1545df,5cc56e0896ef4eb1a647f094a8aa5fb3,16,3,179433,75.0,4.0,8.472558,76.936038,1,1.3298987902712165e-35
402521,919e94d7-6c7e-4914-9d7b-d0b5f95277f4,39cb70ada57247c9886895709aa80a2e,11,3,179550,69.0,1.0,25.096963,55.157839,1,1.3255340181181263e-35
403546,12f44a69-7fbb-4f03-9f91-de906c767850,2f88d18435a94477b22d616a9c8e0bcc,21,2,176527,1.0,0.0,25.293963,55.331489000000005,1,1.3217107949483704e-35
403899,c1ae6965-8903-4885-a851-00532c422a07,569ace38c3e04c41a64917550148e980,9,3,175459,3.0,0.0,10.638397,-61.411411,1,1.3203558014366515e-35
401777,99d1c5e7-e770-4b32-84a6-32f0d68b57fa,1a445f437d4e4c749466eb4c4ad52357,8,2,181661,243.0,6.0,-7.845412,113.235527,1,1.3181930945396584e-35
403324,f8752123-b856-4b54-945c-925dec61fb28,7d9a9d281aaa4c6285c705380b30bb94,6,0,177298,4.0,0.0,35.627524,-0.573533,1,1.318048018103831e-35
402504,a101304a-5753-4208-b819-7060578dd4d8,5566836575b64aea8ce133a3e351cdac,2,0,179615,79.0,4.0,14.700655,121.057079,2,1.3143481843790255e-35
402596,dadd054a-71ad-48b3-ad42-7e1a08f474fa,c992aa22e186424fa012f4568b31ef78,22,5,179350,36.0,0.0,54.569114,-1.320598,1,1.3140540130061282e-35
403066,f09803df-9acc-4ba6-a12d-7c6aabde48e6,6d4d6885029b4f929d6dfc801fb8aec7,13,3,177932,18.0,0.0,28.464306,77.043228,1,1.3072342279616613e-35
403377,37a5b5d9-6765-4abb-9fd3-b51c5e6330ec,3bcb3732d75f4c4fbad293e04822a7d0,16,8,177081,11.0,0.0,14.696026000000002,121.028589,1,1.3068569747224348e-35
403111,60349b04-59ee-4e22-8f9b-a55fa0fed316,7462fe0be2d045409a6c5fadc702b3dc,0,0,177822,28.0,0.0,16.083996,120.347128,1,1.3050622315609733e-35
403176,2b5238bc-5639-4896-a3cb-53e8c7f87b1a,98842ef6fc0248ffbba8f825e6663827,19,5,177679,14.0,0.0,25.391509,68.322686,1,1.303261114747902e-35
403892,20e7ab8c-dbd7-42b5-b5f0-88cf7c1c18e4,13dcdf95ca8740a18b665990dd43076a,11,6,175464,1.0,0.0,9.991992999999999,76.268006,1,1.3028592183472662e-35
402378,01cfe6ea-7009-4366-b578-df759114fc12,e130db0e7a134a1aa28472fcb2057241,15,1,180083,73.0,0.0,52.392105,4.849708000000001,1,1.29675536158185e-35
402604,973ac367-a192-4530-ad32-e3b890ea5a42,a35d7eb43e67404eba48c7d254ffa2bb,16,0,179336,43.0,1.0,47.486536,9.716992999999999,3,1.295826059237313e-35
402772,2d404ba2-efd1-4cde-8f43-8f9952b36feb,8e110f57e4da40df94aee2b0b3084a0f,10,2,178935,27.0,0.0,48.946096000000004,2.194485,1,1.2897964360884772e-35
402623,a53cd648-eedd-40f2-a71f-6240e61a0c60,fe444d94fc564a59822eadebbcb2edb6,11,2,179292,55.0,4.0,24.48801,54.359624,1,1.2890425604988278e-35
403738,6dd17f8b-89e9-4608-83f4-b846a161f07b,ab437d2142ee446ca61ebc7c90533398,22,11,176071,15.0,0.0,-7.31175,112.781821,1,1.2848402345957969e-35
403048,b4403cec-9086-4754-9b05-046d8610326e,6ad3b065fd7b437797f56d02873d30a4,11,5,177964,12.0,0.0,33.874,35.5089,5,1.2842494052484327e-35
402327,57c87274-46e4-42ac-8b66-b10f845ac022,b386a2f76b234b728ca1262418ce65da,160,4,180173,75.0,0.0,51.479766999999995,-0.112889,1,1.2830269375030987e-35
403391,d2a827c4-76db-4272-9022-836cc39f9249,eae5635b5ee74486be86fe2b435b689c,20,8,176990,9.0,1.0,13.873743,100.564521,1,1.2796687264745819e-35
403136,c028d719-2229-477c-890d-9bdfa3defae0,bb1deb2aaacb4717b5a94f8fd9a059a8,18,2,177761,1.0,0.0,45.545484,16.673370000000002,1,1.2763115167812934e-35
403069,109f487e-9532-4890-a30e-db8fbdb64c3d,d20b85b49bd449cc88d262b4cfaa26e9,185,9,177921,23.0,0.0,14.5752,121.042,5,1.2737267833934324e-35
402439,977887b3-a8c3-4cfd-9eab-13157c30c66c,2331f9162c914ccbad951b7592604dfd,8,3,179895,96.0,0.0,6.972752000000001,126.29848700000001,1,1.2734349918914777e-35
402805,2c5c10df-fde0-4abb-85a4-fc6b9d574e34,2dcd0037e3ba4b4e9ef76880aa962bb4,22,8,178814,101.0,11.0,-68.0,-158.0,1,1.272233597282666e-35
402338,57c87274-46e4-42ac-8b66-b10f845ac022,1a6347c087df42be837259770108d69c,154,8,180160,70.0,0.0,51.479766999999995,-0.112889,1,1.270713125516346e-35
401651,2f4acb13-0295-4248-ab35-acb0c20d628f,9f24dc89cbc8446da3ad99b57b5f683e,4,1,181922,248.0,5.0,14.560025,120.998434,4,1.269527656758372e-35
402810,9d1d40bf-1da2-4729-baa6-12907d3a329f,b981c5f8badb467995e9a52804ce9468,4,0,178805,22.0,0.0,50.926671999999996,7.019863000000001,1,1.2682917321658532e-35
403790,c97121ea-3b96-48ed-9d4b-e5b52be93625,a2837ee67a1e401688166d3d267b082e,8,0,175906,1.0,0.0,19.24836,73.14584,1,1.2662878255431042e-35
402208,ef02fac9-fe9a-4483-8662-06a5fdec1fbb,a5a5834ceb7b42de9d9e8f8999b63ac5,11,0,180464,124.0,7.0,5.03974,-75.510081,3,1.2635130936670607e-35
402976,2068010f-39d7-4ef2-a875-3866464c921c,f55fcd89274342018f59047cd1531f00,14,2,178196,35.0,0.0,12.893936,100.882384,2,1.2601067677970036e-35
402267,y1RoOu7igs,b4b3ae12382341c387365a8b5b7e13f5,40,2,180310,141.0,10.0,-33.864806,151.206022,1,1.258717221090238e-35
402533,57c87274-46e4-42ac-8b66-b10f845ac022,7ed13222b96e426d9984de1acdb808a4,142,6,179504,40.0,0.0,51.479766999999995,-0.112889,1,1.2578807293112462e-35
403615,91f4d3fa-4822-4f4c-accd-3321669f2574,721912641fb6445996de2369942f43ea,10,0,176322,8.0,0.0,14.610999999999999,120.99600000000001,1,1.2568398992901722e-35
402325,57c87274-46e4-42ac-8b66-b10f845ac022,8cefd89136ed494398a97ae8d28c2e03,141,3,180177,73.0,0.0,51.479766999999995,-0.112889,1,1.2506721449442942e-35
402056,b5b99909-ddee-4641-91f4-de8ea51167c0,8825b0e5f55f48b385f4863a7e287c0b,13,0,180803,131.0,0.0,28.597965999999996,77.08144899999999,5,1.2374764527803836e-35
402172,7e4d9064-b7c1-412d-a353-588840639590,44fc56571cc644f1b4fce86405ac0ca1,23,4,180533,117.0,4.0,14.535345000000001,121.059975,1,1.2334291147559475e-35
403141,4bfe8536-eb09-4f33-932e-8e7ec09103d2,ab6b83d62b1049c8be73429518597196,10,0,177750,15.0,0.0,28.010735999999998,73.298096,5,1.2328209039434006e-35
403018,6388b640-48cc-40b0-a9fb-b349b0b00948,7228c1961261430b90abea99552eec7c,14,4,178048,17.0,0.0,28.462615999999997,77.05704899999999,1,1.232717246478615e-35
